pop2024,pop2020,growth,name,aland_sqmi,intptlat,intptlong,slug,usps,lsad,lng,lat,type,rank,density
1926,2028,-0.01332,Cottonport,2.005,30.9892,-92.0509,cottonport-la,LA,4,-92.0509,30.9892,Village,195,961
1903,2023,-0.01552,Haynesville,4.828,32.9663,-93.1381,haynesville-la,LA,4,-93.1381,32.9663,Village,196,394
1867,2053,-0.02405,Cade,6.717,30.0926,-91.8996,cade-la,LA,5,-91.8996,30.0926,CDP,197,278
1847,2231,-0.04941,Bayou L'Ourse,2.724,29.7174,-91.0606,bayou-l'ourse-la,LA,5,-91.0606,29.7174,CDP,198,678
1839,1641,0.02795,North Vacherie,5.619,30.0075,-90.7119,north-vacherie-la,LA,5,-90.7119,30.0075,CDP,199,327
1790,1302,0.07314,Labadieville,3.89,29.8246,-90.9526,labadieville-la,LA,5,-90.9526,29.8246,CDP,200,460
1771,1810,-0.00561,Jean Lafitte,5.85,29.7534,-90.1016,jean-lafitte-la,LA,4,-90.1016,29.7534,Village,201,303
1749,1793,-0.00625,Delcambre,1.144,29.9511,-91.9917,delcambre-la,LA,4,-91.9917,29.9511,Village,202,1529
1747,1753,-0.00114,Port Barre,1.078,30.5555,-91.956,port-barre-la,LA,4,-91.956,30.5555,Village,203,1621
1730,1240,0.07654,Wallace,6.454,30.0246,-90.659,wallace-la,LA,5,-90.659,30.0246,CDP,204,268
1727,1739,-0.00173,Woodworth,8.884,31.1739,-92.5204,woodworth-la,LA,4,-92.5204,31.1739,Village,205,194
1718,1052,0.10482,Ama,3.502,29.9435,-90.2956,ama-la,LA,5,-90.2956,29.9435,CDP,206,491
1665,1225,0.07074,Watson,0.959,30.5749,-90.9508,watson-la,LA,5,-90.9508,30.5749,CDP,207,1736
1655,1749,-0.01429,Baldwin,3.217,29.8413,-91.5549,baldwin-la,LA,4,-91.5549,29.8413,Village,208,514
1655,1745,-0.01371,Coushatta,3.34,32.0258,-93.3406,coushatta-la,LA,4,-93.3406,32.0258,Village,209,496
1654,1636,0.00242,Independence,2.411,30.6361,-90.5052,independence-la,LA,4,-90.5052,30.6361,Village,210,686
1621,839,0.13754,Ventress,2.028,30.6789,-91.4305,ventress-la,LA,5,-91.4305,30.6789,CDP,211,799
1602,1750,-0.02257,Golden Meadow,2.447,29.387,-90.275,golden-meadow-la,LA,4,-90.275,29.387,Village,212,655
